Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-11-13,44.54698574248612,44.79198872159898,44.293230749596226,44.42448425292969,955300,0.0,0
2018-11-14,44.71323934875857,44.79199078680656,43.96947836335064,44.214481353759766,1480000,0.0,0
2018-11-15,44.0132289185766,44.5907383581587,43.72447586774327,44.52948760986328,1481100,0.0,0
2018-11-16,44.31948587558746,44.80074318425771,44.31948587558746,44.6519889831543,826900,0.0,0
2018-11-19,44.60823656091253,44.72198937479499,44.08322922254239,44.27573013305664,878900,0.0,0
2018-11-20,43.77697067941084,43.91697285410145,43.251963358799834,43.383216857910156,1494300,0.0,0
2018-11-21,43.52322198769677,43.69822221450567,43.418217846112995,43.43571853637695,1074700,0.0,0
2018-11-23,43.199465171439364,43.43571948830753,43.13821442313081,43.234466552734375,494900,0.0,0
2018-11-26,43.53197155995686,43.79447524348909,43.41821873985723,43.69822311401367,1209300,0.0,0
2018-11-27,43.584465486158564,44.030721330969314,43.50571406202551,44.02197265625,789100,0.0,0
2018-11-28,44.14448412993683,44.72199359176517,43.89072911270067,44.71324157714844,904300,0.0,0
